Calendar Day,Normative Stock Required,Receipt,Consumption,Monitored Capacity(coal),Electricity Generated_Coal,Electricity Generated_Nuclear,Electricity Generated_Hydro
2025-10-17,58935.2,2279.3,2300.1,217446.01,3312.010000000001,155.44,469.3399999999996
2025-10-15,58935.2,2329.6,2264.0,217446.01,3244.259999999997,148.38,520.9700000000001
2025-10-14,58935.2,2285.6,2255.9,217446.01,3223.0300000000043,158.61,540.1500000000005
2025-10-13,58744.4,2193.5,2215.0,216786.01,3152.2499999999995,160.05,555.4699999999997
2025-10-12,58744.4,2352.4,2128.0,216786.01,3002.07,160.30999999999997,559.56
2025-10-11,58744.4,2138.9,2187.4,216786.01,3098.94,160.32,595.3700000000003
2025-10-10,58744.4,2117.2,2231.1,216786.01,3130.019999999996,161.11,643.7100000000003
2025-10-09,58744.4,2066.9,2232.0,216786.01,3140.59,159.63000000000002,637.6400000000003
2025-10-08,58744.4,2132.5,2259.9,216786.01,3131.3000000000043,154.27000000000004,650.9100000000011
2025-10-07,58744.4,2033.4,2150.8,216786.01,2984.880000000001,157.90000000000003,661.1600000000002
2025-10-06,58744.4,2019.3,2116.1,216786.01,2930.049999999998,158.82,621.6800000000007
2025-10-05,58744.4,1978.9,2144.5,216786.01,2973.2599999999998,154.21999999999997,646.6300000000001
2025-10-04,58744.4,1887.7,2230.8,216786.01,3122.6600000000017,143.03,679.3300000000006
2025-10-03,58744.4,1978.2,2128.2,216786.01,3039.2300000000005,143.66,672.6800000000003
2025-10-01,58744.4,2087.5,2205.0,216786.01,3067.480000000001,143.79000000000002,658.7500000000001
2025-09-30,55725.5,2241.0,2367.3,216786.01,3344.3500000000017,141.28,686.7799999999996
2025-09-29,55725.5,2029.8,2398.4,216786.01,3352.6,139.48999999999998,685.4499999999994
2025-09-28,55725.5,2333.5,2319.8,216786.01,3161.710000000002,130.59,674.1200000000003
2025-09-27,55725.5,2066.0,2387.9,216786.01,3303.5199999999973,133.11,681.9000000000007
2025-09-25,55725.5,2173.2,2452.1,216786.01,3448.050000000001,138.0,715.4399999999999
2025-09-24,55725.5,2211.3,2366.4,216786.01,3370.710000000001,134.04,717.2800000000002
2025-09-23,55725.5,2138.0,2364.2,216786.01,3342.3900000000017,135.14999999999998,722.0399999999998
2025-09-22,55725.5,2203.5,2383.7,216786.01,3338.189999999998,139.10000000000002,722.0999999999992
2025-09-21,55725.5,2193.5,2352.7,216786.01,3293.6899999999987,128.53,708.2000000000002
2025-09-20,55725.5,2107.8,2419.3,216786.01,3361.460000000005,122.44,747.3099999999988
2025-09-19,55725.5,2029.4,2466.5,216786.01,3466.379999999997,125.03,752.7900000000011
2025-09-18,55725.5,2019.1,2425.7,216786.01,3422.630000000001,118.26000000000002,763.6500000000015
2025-09-17,55725.5,2159.7,2394.7,216786.01,3409.379999999999,131.57,775.9900000000002
2025-09-16,55725.5,2127.7,2403.4,216786.01,3398.3899999999994,143.77999999999997,768.5499999999988
2025-09-15,55725.5,2122.1,2301.0,216786.01,3302.4600000000023,144.37,770.7399999999994
2025-09-14,55725.5,2164.8,2309.2,216786.01,3287.840000000002,144.56,745.5900000000005
2025-09-13,55725.5,2312.9,2388.1,216786.01,3427.6,144.51,757.4099999999995
2025-09-12,55725.5,2156.3,2394.3,216786.01,3416.439999999999,142.85,774.7900000000009
2025-09-11,55725.5,2155.9,2381.8,216786.01,3392.880000000001,137.82999999999996,750.3500000000008
2025-09-08,55725.5,2086.3,2130.9,216786.01,3083.169999999999,123.04999999999998,780.0399999999995
2025-09-07,55725.5,2234.8,1927.0,216786.01,2783.729999999997,121.52,771.6499999999994
2025-09-06,55725.5,2100.9,2053.4,216786.01,2924.32,122.38,791.2500000000001
2025-09-05,55725.5,2050.2,2045.7,216786.01,2888.4500000000003,127.28,761.7099999999992
2025-09-04,55725.5,2030.7,2014.7,216786.01,2818.209999999999,132.06000000000003,731.63
2025-09-02,55725.5,2189.8,1947.6,216786.01,2731.89,140.98999999999998,735.8599999999999
2025-09-01,55725.5,2216.5,1992.8,216786.01,2786.959999999998,141.18,742.4599999999992
2025-08-31,58744.4,2170.6,2055.3,216786.01,2892.760000000002,146.57,759.9499999999999
2025-08-21,58669.4,2226.8,2342.2,216436.01,3279.349999999998,137.66999999999996,814.8799999999999
2025-08-20,58669.4,2198.7,2243.0,216436.01,3137.110000000001,137.53,803.5399999999994
2025-08-19,58669.4,2173.8,2205.5,216436.01,3146.369999999999,137.20000000000002,794.6700000000004
2025-08-18,58439.8,2188.3,2158.2,216436.01,3096.500000000004,137.07,775.3099999999998
2025-08-17,58439.8,2258.9,2134.7,215636.01,2992.800000000001,134.45999999999998,766.9000000000003
2025-08-16,58439.8,2236.3,2224.9,215636.01,3126.6399999999994,133.02999999999997,712.2899999999997
2025-08-15,58439.8,2316.9,2231.0,215636.01,3085.8299999999986,130.66,678.1100000000004
2025-08-14,58439.8,2165.1,2440.7,215636.01,3423.240000000001,130.61999999999998,650.5600000000003
2025-08-13,58439.8,2148.8,2435.5,215636.01,3433.4500000000003,132.3,776.6700000000006
2025-08-12,58439.8,2239.1,2331.4,215636.01,3321.9600000000005,133.72000000000003,775.6300000000006
2025-08-11,58439.8,2264.6,2313.0,215636.01,3296.63,129.22,790.2000000000008
2025-08-10,58439.8,2382.7,2214.0,215636.01,3155.6900000000023,119.91,787.3400000000005
2025-08-08,58439.8,2138.5,2450.6,215636.01,3546.5299999999997,116.27,806.680000000001
2025-08-07,58439.8,2204.1,2470.2,215636.01,3546.790000000002,118.1,774.3500000000006
2025-08-06,58267.6,2142.4,2431.4,215636.01,3485.7899999999963,117.99,729.5400000000005
2025-08-05,58267.6,2112.7,2399.0,215636.01,3419.2499999999973,117.96999999999998,758.7900000000005
2025-08-04,58267.6,2074.2,2355.3,215636.01,3365.96,118.17000000000002,794.46
2025-08-03,58267.6,2056.3,2317.5,215636.01,3266.509999999997,118.03,769.0700000000003
2025-08-02,58267.6,2198.3,2332.9,215636.01,3357.8600000000006,117.83,731.5299999999992
2025-08-01,58267.6,2152.3,2351.8,215636.01,3353.9400000000005,120.5,698.5900000000006
2025-07-31,61263.7,2190.8,2266.7,215636.01,3210.4300000000003,140.35,713.4399999999998
2025-07-30,61263.7,2036.4,2246.7,215636.01,3155.8999999999974,138.54999999999998,741.7600000000004
2025-07-29,61263.7,2008.5,2176.0,215036.01,3051.62,140.75,728.7899999999998
2025-07-28,61263.7,2209.2,2227.2,215036.01,3133.570000000001,139.5,761.3300000000006
2025-07-27,61263.7,2284.0,2129.1,215036.01,2985.409999999999,145.53,721.1199999999999
2025-07-24,61263.7,1975.5,2335.6,215036.01,3325.0400000000027,141.96,714.1399999999994
2025-07-23,61263.7,2137.6,2316.0,215036.01,3305.9600000000005,141.85,624.7399999999999
2025-07-22,61263.7,2202.0,2405.1,215036.01,3455.95,139.76999999999998,617.38
2025-07-21,61263.7,2113.0,2506.7,215036.01,3581.92,136.58999999999995,663.0600000000004
2025-07-20,61185.1,2111.6,2386.8,215036.01,3397.0800000000017,138.5,737.3499999999999
2025-07-19,60920.5,2071.3,2459.1,214686.01,3516.340000000002,140.67,739.409999999999
2025-07-18,60920.5,1957.1,2425.4,214686.01,3460.369999999997,143.01,766.8100000000002
2025-07-17,60920.5,1973.5,2362.0,214686.01,3364.26,136.68,755.9999999999993
2025-07-16,60920.5,1873.9,2311.3,214686.01,3305.2600000000034,136.14,738.5100000000007
2025-07-15,60920.5,2080.3,2249.6,214686.01,3217.1499999999987,148.92,712.61
2025-07-14,60920.5,2037.4,2231.0,214686.01,3145.63,139.32,668.0299999999996
2025-07-13,60920.5,2133.9,2269.1,214686.01,3202.3599999999983,137.02999999999997,676.4500000000005
2025-07-12,60920.5,2101.6,2380.8,214686.01,3372.3099999999977,150.36,706.2000000000007
2025-07-11,60920.5,1987.3,2391.4,214686.01,3407.839999999999,151.4,695.4699999999997
2025-07-10,60920.5,1926.1,2269.9,214686.01,3245.6900000000005,153.95000000000002,691.8500000000004
2025-07-09,60920.5,1929.6,2261.5,214686.01,3251.19,156.95000000000002,679.3800000000008
2025-07-08,60920.5,2015.1,2307.8,214686.01,3311.090000000001,156.53,702.2000000000002
2025-07-07,60920.5,2004.4,2241.5,214686.01,3177.3900000000003,155.8,680.2099999999998
2025-07-06,60920.5,2212.5,2157.4,214686.01,3056.4999999999977,152.02,654.9000000000003
2025-07-04,72262.7,2139.5,2358.7,214686.01,3390.469999999997,150.41000000000005,661.2399999999997
2025-07-03,72262.7,2019.1,2337.6,214686.01,3366.8900000000017,147.21,654.5599999999995
2025-07-02,72262.7,2069.3,2263.4,214686.01,3245.889999999999,148.35,656.3900000000008
2025-07-01,72262.7,2185.0,2150.3,214686.01,3106.91,153.01000000000002,611.0000000000001
2025-06-30,72262.7,2184.6,2128.9,214686.01,3049.4099999999985,152.98000000000005,574.9200000000004
2025-06-29,71807.9,2414.6,2133.9,214686.01,3072.590000000001,153.06999999999996,540.8400000000001
2025-06-28,71807.9,2333.4,2340.9,214686.01,3406.9400000000023,153.07,603.6699999999997
2025-06-27,71807.9,2284.8,2352.6,214686.01,3431.820000000001,152.07,626.0299999999996
2025-06-26,71807.9,2303.1,2350.4,213366.01,3440.540000000001,151.1,620.4200000000001
2025-06-25,71807.9,2266.0,2310.1,213366.01,3400.8000000000006,141.42000000000002,634.0299999999992
2025-06-22,71807.9,2311.3,2212.3,213366.01,3196.6099999999974,142.66000000000005,617.8599999999997
2025-06-21,71807.9,2121.2,2248.3,213366.01,3289.9099999999994,146.72,616.8899999999995
2025-06-20,71807.9,2144.0,2163.1,213366.01,3162.6499999999987,143.54000000000002,604.0400000000003
2025-06-19,71807.9,2307.9,2150.8,213366.01,3156.5400000000013,142.55999999999997,603.7500000000002
2025-06-18,71807.9,2369.4,2187.4,213366.01,3213.03,141.85,601.2199999999993
2025-06-17,71635.1,2356.9,2268.7,212706.01,3329.3300000000013,146.17999999999998,602.9099999999999
2025-06-16,71635.1,2430.9,2328.9,212706.01,3440.469999999999,151.06,589.2700000000003
2025-06-15,71635.1,2630.3,2436.0,212706.01,3549.560000000001,144.94000000000003,560.3699999999997
2025-06-14,71454.1,2475.4,2642.2,212706.01,3905.809999999998,146.58999999999995,570.5200000000001
2025-06-13,71454.1,2451.8,2618.4,212706.01,3909.5999999999945,144.65,579.8900000000002
2025-06-12,71454.1,2484.8,2593.8,212706.01,3854.02,142.33,577.6600000000002
2025-06-11,71454.1,2380.7,2579.1,212706.01,3841.08,141.27,581.9199999999997
2025-06-10,71454.1,2366.5,2543.4,212706.01,3793.650000000001,141.50000000000003,546.0500000000001
2025-06-09,71454.1,2578.6,2538.9,212706.01,3771.899999999998,141.94,525.38
2025-06-08,71454.1,2607.7,2402.4,212706.01,3575.6100000000024,147.37000000000003,486.1699999999999
2025-06-07,71454.1,2577.8,2444.2,212706.01,3682.780000000002,147.57000000000002,432.4399999999998
2025-06-06,71454.1,2381.9,2465.4,212706.01,3711.2199999999993,152.56,429.8399999999992
2025-06-05,71454.1,2388.1,2333.5,212706.01,3532.0,161.32999999999998,450.4599999999996
2025-06-04,71454.1,2378.7,2220.5,212706.01,3315.570000000001,167.49,415.7099999999996
2025-06-03,71454.1,2420.3,2189.9,212706.01,3256.3499999999985,167.74999999999997,438.47000000000014
2025-06-02,71454.1,2355.9,2208.9,212706.01,3267.9099999999976,162.78000000000003,447.2200000000001
2025-06-01,71454.1,2223.8,2087.2,212706.01,3052.1600000000008,162.56,466.5899999999997
2025-05-31,71454.1,2476.7,2087.7,212706.01,3059.7500000000023,162.39999999999998,491.6699999999999
2025-05-30,71454.1,2518.3,2111.2,212706.01,3135.23,165.64,459.0700000000002
