Country,Year,Month,Calendar Day,Types Of Fuel,Type Of Category,"Monitored Capacity  (UOM:MW(MegaWatt)), Scaling Factor:1","Targeted Generation Of Electricity For The Current Day (UOM:MU(MillionUnits)), Scaling Factor:1","Actual Generation Of Electricity For The Current Day (UOM:MU(MillionUnits)), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-17,Coal,Thermal,217446.01,3943.4600000000014,3312.010000000001
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-17,Nuclear,Nuclear,8780,132.07000000000002,155.44
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-17,Hydro,Hydro,50108.16000000005,455.44,469.33999999999963
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-16,Coal,Thermal,217446.01,3943.4600000000014,3277.9300000000007
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-16,Nuclear,Nuclear,8780,132.07000000000002,153.14
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-16,Hydro,Hydro,50108.16000000005,455.44,495.65999999999997
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-15,Coal,Thermal,217446.01,3932.520000000001,3244.2599999999975
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-15,Nuclear,Nuclear,8780,127.38000000000002,148.38
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-15,Hydro,Hydro,50108.16000000005,455.44,520.9700000000001
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-14,Coal,Thermal,217446.01,3936.310000000001,3223.0300000000043
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-14,Nuclear,Nuclear,8780,127.38000000000002,158.60999999999999
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-14,Hydro,Hydro,50108.16000000005,455.44,540.1500000000005
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-13,Coal,Thermal,216786.01,3947.620000000001,3152.2499999999995
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-13,Nuclear,Nuclear,8780,127.38000000000002,160.05
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-13,Hydro,Hydro,50108.16000000005,455.44,555.4699999999997
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-12,Coal,Thermal,216786.01,3944.510000000001,3002.07
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-12,Nuclear,Nuclear,8780,127.38000000000002,160.30999999999997
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-12,Hydro,Hydro,50108.16000000005,455.44,559.56
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-11,Coal,Thermal,216786.01,3931.710000000001,3098.94
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-11,Nuclear,Nuclear,8780,127.38000000000002,160.32
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-11,Hydro,Hydro,50108.16000000005,455.44,595.3700000000003
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-10,Coal,Thermal,216786.01,3931.710000000001,3130.019999999996
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-10,Nuclear,Nuclear,8780,127.38000000000002,161.11
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-10,Hydro,Hydro,50108.16000000005,455.44,643.7100000000003
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-09,Coal,Thermal,216786.01,3949.270000000001,3140.5899999999997
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-09,Nuclear,Nuclear,8780,127.38000000000002,159.63000000000002
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-09,Hydro,Hydro,50108.16000000005,455.44,637.6400000000003
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-08,Coal,Thermal,216786.01,3949.270000000001,3131.3000000000043
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-08,Nuclear,Nuclear,8780,127.38000000000002,154.27000000000004
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-08,Hydro,Hydro,50108.16000000005,455.44,650.9100000000011
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-07,Coal,Thermal,216786.01,3932.6000000000013,2984.880000000001
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-07,Nuclear,Nuclear,8780,127.38000000000002,157.90000000000003
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-07,Hydro,Hydro,50108.16000000005,455.44,661.1600000000002
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-06,Coal,Thermal,216786.01,3932.6000000000013,2930.049999999998
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-06,Nuclear,Nuclear,8780,127.38000000000002,158.82
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-06,Hydro,Hydro,50108.16000000005,455.44,621.6800000000007
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-05,Coal,Thermal,216786.01,3932.6000000000013,2973.2599999999993
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-05,Nuclear,Nuclear,8780,127.38000000000002,154.21999999999997
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-05,Hydro,Hydro,50108.16000000005,455.44,646.6300000000001
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-04,Coal,Thermal,216786.01,3954.8500000000013,3122.6600000000017
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-04,Nuclear,Nuclear,8780,127.38000000000002,143.03
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-04,Hydro,Hydro,50108.16000000005,455.44,679.3300000000006
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-03,Coal,Thermal,216786.01,3954.8500000000013,3039.2300000000005
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-03,Nuclear,Nuclear,8780,127.38000000000002,143.66
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-03,Hydro,Hydro,50108.16000000005,455.44,672.6800000000003
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-02,Coal,Thermal,216786.01,3954.8500000000013,2842.95
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-02,Nuclear,Nuclear,8780,127.38000000000002,144.36999999999998
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-02,Hydro,Hydro,50108.16000000005,455.44,640.3000000000008
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-01,Coal,Thermal,216786.01,3954.8500000000013,3067.480000000001
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-01,Nuclear,Nuclear,8780,147.38,143.79000000000002
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-01,Hydro,Hydro,50108.16000000005,455.44,658.7500000000001
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-30,Coal,Thermal,216786.01,3864.6299999999974,3344.3500000000017
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-30,Nuclear,Nuclear,8780,131.23999999999998,141.28
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-30,Hydro,Hydro,50108.16000000005,647.0999999999996,686.7799999999996
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-29,Coal,Thermal,216786.01,3856.299999999998,3352.6
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-29,Nuclear,Nuclear,8780,131.23999999999998,139.48999999999998
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-29,Hydro,Hydro,50108.16000000005,647.0999999999996,685.4499999999994
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-28,Coal,Thermal,216786.01,3828.9699999999975,3161.710000000002
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-28,Nuclear,Nuclear,8780,131.23999999999998,130.59
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-28,Hydro,Hydro,50108.16000000005,647.0999999999996,674.1200000000003
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-27,Coal,Thermal,216786.01,3828.9699999999975,3303.5199999999973
